municipios,regioes
SANTA QUITERIA,Sertão de Crateús
TAMBORIL,Sertão de Crateús
MORADA NOVA,Vale do Jaguaribe
LIMOEIRO DO NORTE,Vale do Jaguaribe
JAGUARIBE,Vale do Jaguaribe
TABULEIRO DO NORTE,Vale do Jaguaribe
QUIXERE,Vale do Jaguaribe
JAGUARETAMA,Vale do Jaguaribe
ALTO SANTO,Vale do Jaguaribe
PEREIRO,Vale do Jaguaribe
IRACEMA,Vale do Jaguaribe
JAGUARIBARA,Vale do Jaguaribe
RUSSAS,Vale do Jaguaribe
PALHANO,Vale do Jaguaribe
SAO JOAO DO JAGUARIBE,Vale do Jaguaribe
ERERE,Vale do Jaguaribe
POTIRETAMA,Vale do Jaguaribe
ACOPIARA,Centro Sul
BAIXIO,Centro Sul
CARIUS,Centro Sul
CATARINA,Centro Sul
CEDRO,Centro Sul
ICO,Centro Sul
IGUATU,Centro Sul
IPAUMIRIM,Centro Sul
JUCAS,Centro Sul
OROS,Centro Sul
QUIXELO,Centro Sul
SABOEIRO,Centro Sul
UMARI,Centro Sul
LAVRAS DA MANGABEIRA,Centro Sul
CARNAUBAL,Serra da Ibiapaba
CROATA,Serra da Ibiapaba
GUARACIABA DO NORTE,Serra da Ibiapaba
IBIAPINA,Serra da Ibiapaba
SAO BENEDITO,Serra da Ibiapaba
TIANGUA,Serra da Ibiapaba
UBAJARA,Serra da Ibiapaba
VICOSA DO CEARA,Serra da Ibiapaba
BOA VIAGEM,Sertão do Canindé
CANINDE,Sertão do Canindé
CARIDADE,Sertão do Canindé
ITATIRA,Sertão do Canindé
MADALENA,Sertão do Canindé
PARAMOTI,Sertão do Canindé
BANABUIU,Sertão Central
CHORÓ,Sertão Central
DEPUTADO IRAPUAN PINHEIRO,Sertão Central
IBARETAMA,Sertão Central
IBICUITINGA,Sertão Central
MILHA,Sertão Central
MOMBACA,Sertão Central
PEDRA BRANCA,Sertão Central
PIQUET CARNEIRO,Sertão Central
QUIXADA,Sertão Central
QUIXERAMOBIM,Sertão Central
SENADOR POMPEU,Sertão Central
SOLONOPOLE,Sertão Central
ACARAPE,Maciço do Baturité
ARACOIABA,Maciço do Baturité
ARATUBA,Maciço do Baturité
BARREIRA,Maciço do Baturité
BATURITÉ,Maciço do Baturité
CAPISTRANO,Maciço do Baturité
GUARAMIRANGA,Maciço do Baturité
ITAPIUNA,Maciço do Baturité
MULUNGU,Maciço do Baturité
OCARA,Maciço do Baturité
PACOTI,Maciço do Baturité
PALMACIA,Maciço do Baturité
REDENCAO,Maciço do Baturité
AIUABA,Sertão dos Inhamuns
ARNEIROZ,Sertão dos Inhamuns
PARAMBU,Sertão dos Inhamuns
QUITERIANOPOLIS,Sertão dos Inhamuns
TAUA,Sertão dos Inhamuns
AMONTADA,Litoral Oeste
APUIARES,Litoral Oeste
GENERAL SAMPAIO,Litoral Oeste
IRAUCUBA,Litoral Oeste
ITAPAJE,Litoral Oeste
ITAPIPOCA,Litoral Oeste
MIRAIMA,Litoral Oeste
PARACURU,Litoral Oeste
PARAIPABA,Litoral Oeste
PENTECOSTE,Litoral Oeste
SAO LUIS DO CURU,Litoral Oeste
TEJUCUOCA,Litoral Oeste
TRAIRI,Litoral Oeste
TURURU,Litoral Oeste
UMIRIM,Litoral Oeste
URUBURETAMA,Litoral Oeste
PIRES FERREIRA,Serra da Ibiapaba
MUCAMBO,Região Norte
